#{"t_start": 1744321262.6129818, "env_id": "None"}
r,l,t
76.52004,128,1175.816025
77.97002,133,1176.500917
395.78967,401,1179.36281
189.94974,300,1180.702752
70.79003,121,1181.396488
77.47002,133,1182.1018
78.47001,133,1182.770003
45.97,113,1183.420492
228.34958,330,1185.00892
45.470016,113,1185.705016
186.55984,289,1187.105745
45.560028,104,1187.719767
53.60005,100,1188.270934
71.17003,123,1188.961788
384.13992,376,1191.791916
224.08968,336,1193.269669
45.15004,105,1193.894837
51.560028,104,1194.520578
122.20994,219,1195.682837
382.64944,425,1197.70374
106.229996,192,1198.745033
51.260048,104,1199.40789
104.930016,192,1200.45561
236.87968,382,1203.305294
417.72964,437,1205.24014
418.8499,470,1207.321885
419.3897,441,1209.340933
76.35999,134,1210.088362
78.560005,134,1210.84431
182.94989,285,1213.236551
384.07965,377,1214.994123
76.08003,132,1215.750041
46.18,112,1216.384801
98.33999,171,1217.244564
421.8597,444,1219.369545
46.170013,113,1220.049763
53.960022,99,1220.66011
52.76004,99,1221.271552
53.86004,99,1221.816948
51.190033,101,1222.472099
126.459984,219,1224.503442
419.37964,447,1226.556705
416.58975,441,1228.650345
95.64996,180,1229.579634
51.030052,107,1230.239793
106.52999,202,1231.30003
421.54974,445,1233.380149
53.300056,100,1233.986164
165.72992,262,1236.252177
112.65994,179,1237.132895
45.97001,113,1237.794649
119.95986,219,1238.902913
76.97001,133,1239.711677
179.69975,290,1241.548713
183.80963,289,1243.174412
77.310036,129,1243.909658
119.46987,213,1244.960442
77.13005,127,1245.654872
381.37964,377,1248.452585
414.89963,440,1250.544906
184.0599,294,1251.960308
235.02971,352,1253.766106
45.510025,109,1254.425602
44.120018,108,1255.071848
70.58004,122,1255.754367
183.08958,286,1257.219986
44.97003,103,1258.883397
415.32956,442,1260.919105
97.83996,171,1261.794489
50.090057,101,1262.391831
76.069984,133,1263.081598
180.2896,286,1264.542328
50.660034,104,1265.153907
76.250015,135,1265.831559
177.11969,298,1267.207946
166.0697,268,1268.500886
230.31955,358,1271.170645
49.74003,106,1271.779011
415.76978,433,1273.875053
49.990036,101,1274.43437
233.77966,367,1276.211846
186.37965,287,1277.670511
49.820023,108,1278.441701
388.68985,401,1281.382405
229.83974,366,1283.070401
379.68964,386,1284.941829
44.88002,112,1285.590974
76.570015,133,1286.331686
416.7998,440,1288.430346
72.66003,124,1289.161435
46.100014,110,1289.765282
76.04999,135,1290.514714
46.75004,105,1291.1268
407.7896,436,1294.28562
51.700043,100,1294.860045
109.80999,184,1295.804999
220.61957,333,1297.319574
414.42972,437,1299.413609
406.9094,439,1301.459638
49.770035,103,1302.06811
94.95001,170,1304.080238
379.7797,377,1305.879391
167.29988,270,1307.105193
73.58003,132,1307.7725
75.66998,133,1308.496333
75.780045,132,1309.216879
75.55,135,1309.957575
45.070007,113,1310.617763
75.37,133,1311.391978
161.37975,272,1312.686638
50.200035,100,1313.299243
49.180023,102,1313.831737
166.05988,274,1316.174717
73.13002,127,1316.866652
49.580032,102,1317.492767
180.55977,294,1318.895236
216.61957,323,1320.46976
376.75964,379,1322.244165
51.070038,103,1322.93162
412.41968,448,1325.044475
49.420036,108,1326.760402
74.77,133,1327.554567
400.88983,416,1329.526457
75.57001,133,1330.221648
68.29005,121,1330.937371
229.16965,363,1332.704488
226.82953,367,1334.509257
47.01004,99,1335.064155
118.8599,219,1336.105598
72.14002,126,1336.804126
49.620033,108,1338.431572
230.50977,354,1340.077944
384.68954,401,1341.972892
48.580025,102,1342.580499
182.47974,292,1343.989763
44.95002,105,1344.605029
42.43006,107,1345.19728
225.74957,365,1346.949811
44.330025,107,1347.612503
412.43954,436,1350.724681
95.71996,173,1351.607865
406.99963,440,1353.687275
48.460037,104,1354.316618
377.22955,377,1356.103746
48.980026,102,1356.670323
43.310036,109,1357.271477
212.11954,323,1358.802196
48.72004,108,1359.583927
221.41957,333,1362.276218
50.15004,105,1362.863841
75.759995,134,1363.604785
